id,churn
215,yes
216,yes
217,yes
218,yes
219,yes
220,no
221,yes
222,yes
223,yes
224,yes
225,yes
226,yes
227,yes
228,yes
229,yes
230,yes
231,no
232,yes
233,yes
234,yes
235,yes
236,yes
237,yes
238,yes
239,yes
240,yes
241,yes
242,yes
243,yes
244,yes
245,yes
246,yes
247,yes
248,yes
249,yes
250,yes
251,yes
252,no
253,yes
254,yes
255,yes
256,yes
257,yes
258,yes
259,yes
260,yes
261,yes
262,yes
263,yes
264,yes
265,yes
266,yes
267,yes
268,yes
269,yes
270,yes
271,yes
272,yes
273,yes
274,yes
275,yes
276,yes
277,yes
278,yes
279,yes
280,yes
281,yes
282,yes
283,yes
284,yes
285,yes
286,yes
287,yes
288,yes
289,yes
290,yes
291,yes
292,yes
293,yes
294,yes
295,yes
296,yes
297,yes
298,yes
299,yes
300,yes
301,yes
302,yes
303,yes
304,yes
305,yes
306,yes
307,yes
308,yes
309,yes
310,yes
311,yes
312,yes
313,yes
314,yes
315,yes
316,yes
317,yes
318,yes
319,yes
320,yes
321,yes
322,yes
323,yes
324,yes
325,yes
326,yes
327,yes
328,yes
329,yes
330,yes
331,yes
332,yes
333,yes
334,yes
335,yes
336,yes
337,yes
338,yes
339,yes
340,yes
341,yes
342,yes
343,yes
344,yes
345,yes
346,yes
347,yes
348,yes
349,yes
350,yes
351,yes
352,yes
353,yes
354,yes
355,yes
356,yes
357,yes
358,yes
359,yes
360,yes
361,yes
362,yes
363,yes
364,yes
365,yes
366,yes
367,yes
368,yes
369,no
370,yes
371,yes
372,no
373,yes
374,yes
375,yes
376,yes
377,yes
378,yes
379,yes
380,yes
381,yes
382,yes
383,yes
384,yes
385,yes
386,yes
387,no
388,yes
389,yes
390,yes
391,yes
392,yes
393,yes
394,yes
395,yes
396,yes
397,yes
398,yes
399,yes
400,yes
401,yes
402,yes
403,yes
404,yes
405,yes
406,yes
407,yes
408,yes
409,yes
410,yes
411,yes
412,yes
413,yes
414,yes
415,yes
416,yes
417,yes
418,yes
419,no
420,yes
421,yes
422,yes
423,yes
424,yes
425,yes
426,yes
427,yes
428,yes
429,yes
430,yes
431,yes
432,yes
433,yes
434,yes
435,yes
436,yes
437,yes
438,yes
439,yes
440,yes
441,yes
442,yes
443,no
444,yes
445,yes
446,yes
447,yes
448,yes
449,yes
450,yes
451,yes
452,yes
453,no
454,yes
455,yes
456,no
457,yes
458,yes
459,yes
460,yes
461,yes
462,yes
463,yes
464,yes
465,yes
466,yes
467,yes
468,yes
469,yes
470,yes
471,yes
472,no
473,yes
474,yes
475,yes
476,yes
477,yes
478,yes
479,yes
480,yes
481,yes
482,yes
483,yes
484,no
485,yes
486,yes
487,yes
488,yes
489,yes
490,yes
491,yes
492,yes
493,yes
494,yes
495,yes
496,yes
497,yes
498,yes
499,yes
500,yes
501,yes
502,yes
503,yes
504,yes
505,yes
506,yes
507,yes
508,yes
509,yes
510,yes
511,yes
512,yes
513,yes
514,yes
515,yes
516,yes
517,yes
518,yes
519,yes
520,yes
521,yes
522,yes
523,yes
524,yes
525,yes
526,yes
527,yes
528,yes
529,yes
530,yes
531,yes
532,yes
533,yes
534,no
535,yes
536,yes
537,yes
538,yes
539,yes
540,yes
541,yes
542,yes
543,yes
544,yes
545,yes
546,yes
547,yes
548,yes
549,yes
550,yes
551,yes
552,yes
553,yes
554,yes
555,yes
556,yes
557,yes
558,yes
559,yes
560,yes
561,yes
562,yes
563,yes
564,yes
565,yes
566,yes
567,no
568,yes
569,yes
570,no
571,yes
572,yes
573,yes
574,yes
575,yes
576,yes
577,yes
578,yes
579,yes
580,no
581,yes
582,yes
583,yes
584,yes
585,yes
586,yes
587,yes
588,yes
589,yes
590,yes
591,yes
592,yes
593,yes
594,yes
595,yes
596,yes
597,yes
598,yes
599,no
600,yes
601,yes
602,yes
603,yes
604,yes
605,yes
606,yes
607,yes
608,yes
609,yes
610,yes
611,yes
612,yes
613,yes
614,yes
615,yes
616,yes
617,yes
618,yes
619,yes
620,yes
621,yes
622,yes
623,yes
624,yes
625,yes
626,yes
627,yes
628,no
629,yes
630,yes
631,yes
632,yes
633,yes
634,yes
635,yes
636,yes
637,yes
638,yes
639,yes
640,yes
641,yes
642,yes
643,yes
644,yes
645,yes
646,yes
647,no
648,yes
649,yes
650,yes
651,yes
652,yes
653,yes
654,yes
655,yes
656,yes
657,yes
658,yes
659,yes
660,yes
661,yes
662,yes
663,yes
664,yes
665,yes
666,yes
667,yes
668,yes
669,yes
670,yes
671,yes
672,yes
673,yes
674,yes
675,yes
676,yes
677,yes
678,yes
679,yes
680,yes
681,yes
682,yes
683,yes
684,yes
685,yes
686,yes
687,yes
688,yes
689,yes
690,yes
691,yes
692,yes
693,yes
694,yes
695,yes
696,yes
697,yes
698,no
699,yes
700,yes
701,yes
702,yes
703,yes
704,yes
705,no
706,yes
707,yes
708,yes
709,yes
710,yes
711,yes
712,yes
713,yes
714,yes
715,yes
716,yes
717,yes
718,yes
719,yes
720,yes
721,no
722,yes
723,yes
724,yes
725,yes
726,yes
727,yes
728,yes
729,yes
730,yes
731,yes
732,yes
733,yes
734,yes
735,yes
736,yes
737,yes
738,yes
739,yes
740,yes
741,yes
742,yes
743,yes
744,yes
745,yes
746,no
747,yes
748,yes
749,yes
750,yes
