id,churn
565,yes
566,yes
567,yes
568,no
569,yes
570,yes
571,yes
572,yes
573,yes
574,yes
575,yes
576,yes
577,yes
578,yes
579,yes
580,yes
581,yes
582,yes
583,yes
584,yes
585,yes
586,no
587,no
588,yes
589,yes
590,yes
591,yes
592,no
593,no
594,yes
595,no
596,yes
597,yes
598,yes
599,yes
600,yes
601,yes
602,yes
603,yes
604,yes
605,yes
606,yes
607,no
608,yes
609,yes
610,yes
611,yes
612,yes
613,yes
614,yes
615,no
616,no
617,no
618,yes
619,yes
620,yes
621,yes
622,yes
623,yes
624,no
625,yes
626,yes
627,yes
628,no
629,yes
630,yes
631,yes
632,yes
633,yes
634,yes
635,yes
636,yes
637,yes
638,yes
639,yes
640,yes
641,yes
642,yes
643,yes
644,no
645,yes
646,yes
647,yes
648,yes
649,yes
650,yes
651,yes
652,no
653,yes
654,no
655,yes
656,yes
657,yes
658,yes
659,no
660,yes
661,yes
662,yes
663,yes
664,yes
665,yes
666,yes
667,yes
668,no
669,no
670,yes
671,yes
672,yes
673,no
674,yes
675,no
676,yes
677,no
678,yes
679,yes
680,yes
681,yes
682,yes
683,yes
684,yes
685,yes
686,yes
687,yes
688,yes
689,yes
690,yes
691,no
692,yes
693,no
694,yes
695,yes
696,no
697,yes
698,yes
699,no
700,yes
701,yes
702,no
703,no
704,yes
705,yes
706,yes
707,yes
708,yes
709,yes
710,no
711,yes
712,yes
713,yes
714,yes
715,yes
716,yes
717,no
718,no
719,no
720,yes
721,yes
722,yes
723,yes
724,no
725,no
726,yes
727,yes
728,no
729,no
730,yes
731,yes
732,no
733,yes
734,yes
735,yes
736,yes
737,yes
738,yes
739,yes
740,yes
741,yes
742,yes
743,no
744,yes
745,yes
746,yes
747,yes
748,yes
749,yes
750,yes
